Name, State, E1, E2, E3, E4, E5, E6
A T Still University of Health Sciences,MO,,,,mheeren@atsu.edu
Aaniiih Nakoda College,MT,cfalconc@mail.fbcc.edu,,,
Abilene Christian University,TX,,,,
Abraham Baldwin Agricultural College,GA,dbridges@abac.edu,jbaker@abac.edu,,schatterjee@abac.edu
Abraham Lincoln University,CA,ballen@lincoln.edu,provost@lincoln.edu,,
Academy College,MN,ngo@academycollege.edu,,,
Academy for Five Element Acupuncture,FL,misti.oxford@acupuncturist.edu,,,
Academy for Jewish Religion-California,CA,,,,
Academy for Nursing and Health Occupations,FL,admin@anho.edu,admin@anho.edu,,admin@anho.edu
Academy of Art University,CA,,,,
Academy of Chinese Culture and Health Sciences,CA,info@acchs.edu,,,
Academy of Interactive Entertainment,LA,johnd@aie.edu.au,,,
Acupuncture and Integrative Medicine College-Berkeley,CA,ytanaka@aimc.edu,,,
Acupuncture and Massage College,FL,christyw@amcollege.edu,,,
Adams State University,CO,president@adams.edu,jadickson@adams.edu,,
Adelphi University,NY,mtassiello@adelphi.edu,,,
Adirondack Community College,NY,duffyk@sunyacc.edu,sommaa@sunyacc.edu,,
Adler Graduate School,MN,jeffrey.allen@alfredadler.edu,,,
Adler University,IL,rec@adler.edu,,,
Adrian College,MI,jdocking@adrian.edu,amilner@adrian.edu,,
Advance Science International College,FL,,,,
Advanced College,CA,harvey.kesselman@stockton.edu,,,Brian.Kowalski@stockton.edu
Advanced College-Stockton,CA,,,,
Advanced Technology Institute,VA,chris.vanmetre@ati.org,,,
Advanced Training Associates,CA,,vphillips@advancedtraining.edu,,
AdventHealth University,FL,edwin.hernandez@adu.edu,edwin.hernandez@adu.edu,,
Agnes Scott College,GA,president@agnesscott.edu,,,
AI Miami International University of Art and Design,FL,fleminge@mymiu.edu,,,
Aiken Technical College,SC,mahanf@atc.edu,uhlerj@atc.edu,,
Aims Community College,CO,leah.bornstein@aims.edu,donna.norwood@aims.edu,,
Air Force Institute of Technology-Graduate School of Engineering & Management,OH,adedeji.badiru@afit.edu,,,
Alabama A & M University,AL,andrew.hugine@aamu.edu,daniel.wims@aamu.edu,,
Alabama College of Osteopathic Medicine,AL,,,,
Alabama State University,AL,QTROSSfiiGMAlL.COM,,,
Alamance Community College,NC,Algie.Gatewood@alamancecc.edu,,,
Alamo Community College District Central Office,TX,robertgarza@tx.rr.com,,,
Alaska Bible College,AK,dley@akbible.edu,,,
Alaska Career College,AK,linda.sture@alaskacareercollege.edu,,,
Alaska Christian College,AK,mail@alaskacc.edu,,,
Alaska Pacific University,AK,droll@alaskapacific.edu,,,
Albany College of Pharmacy and Health Sciences,NY,greg.dewey@acphs.edu,,,
Albany Law School,NY,aouel@albanylaw.edu,vraus@albanylaw.edu,,
Albany Medical College,NY,,,,
Albany State University,GA,marion.fedrick@uga.edu,,,
Albany Technical College,GA,aparker@albanytech.edu,,,
Albert Einstein College of Medicine,NY,gordon.tomaselli@einstein.yu.edu,,,
Albertus Magnus College,CT,president@albertus.edu,,,
Albion College,MI,mditzler@albion.edu,lwright@albion.edu,,
Albright College,PA,kcafoncelli@albright.edu,kcampbell@albright.edu,,
Alcorn State University,MS,,tmcook@alcorn.edu,,
Alderson Broaddus University,WV,barryjt@ab.edu,bucklewaj@ab.edu,,
Alexandria Technical & Community College,MN,michael.seymour@alextech.edu,,,
Alfred University,NY,zupan@alfred.edu,dobie@alfred.edu,,
Alhambra Medical University,CA,director@amu.edu,,,
Alice Lloyd College,KY,,davidjohnson@alc.edu,,
All-State Career School,PA,,,,
All-State Career School-Health Sciences,PA,,,,
Allan Hancock College,CA,kevin.walthers@hancockcollege.edu,,,
Allegany College of Maryland,MD,,,,
Allegheny College,PA,,,,
Allegheny Wesleyan College,OH,president@awc.edu,academicdean@awc.edu,,
Allen College,IA,Jared.Seliger@allencollege.edu,Robert.Loch@allencollege.edu,,
Allen County Community College,KS,masterson@allencc.edu,,,
Allen University,SC,otpinfo@allenuniversity.edu,,,
Alliant International University-San Diego,CA,andy.vaughn@alliant.edu,theller@alliant.edu,,
Alma College,MI,abernathyj@alma.edu,kdaugherty@alma.edu,,
Alpena Community College,MI,macmastd@alpenacc.edu,,,
Altierus Career College-Bissonnet,TX,,,,
Altierus Career College-Norcross,GA,,,,
Altierus Career College-Tampa,FL,,,,
Altierus Career College-Thornton,CO,,,,
Alvernia University,PA,president@alvernia.edu.,sharon.blair@alvernia.edu,,
Alverno College,WI,student.accounts@alverno.edu,,,
Alvin Community College,TX,tgiffrow@alvincollege.edu,,,
Amarillo College,TX,rdloweryhart@actx.edu,,,
Amberton University,TX,mreagan.amberton.edu,,,
Ambria College of Nursing,IL,,,,
America Evangelical University,CA,,,,
American Academy of Acupuncture and Oriental Medicine,MN,chapaomd@gmail.com,,,
American Academy of Art,IL,,,,
American Academy of Dramatic Arts-Los Angeles,CA,SZech@aada.edu,,,
American Academy of Dramatic Arts-New York,NY,SZech@aada.edu,,,
American Baptist College,TN,americanbaptistcollege@abcnash.edu,,,
American Baptist Seminary of the West,CA,lflesher@absw.edu,,,
American Business and Technology University,MO,Ramsey@abtu.edu,michael.campbell@abtu.edu,,
American Career College-Anaheim,CA,dJones@americancareercollege.edu,,,
American Career College-Los Angeles,CA,lTownsend@americancareercollege.edu,,,
American Career College-Ontario,CA,rTotten@americancareercollege.edu,,,
American College for Medical Careers,FL,mbmiller@miami.edu,,,
American College of Acupuncture and Oriental Med,TX,jpliang@acaom.edu,,,
American College of Education,IN,jennifer.banas@ace.edu,,,
American College of Financial Services,PA,georgen@theamericancollege.edu,,,
American College of Healthcare Sciences,OR,dorenepetersen@achs.edu,,,
American College of the Building Arts,SC,razziw@acba.edu,,,
American Conservatory Theater,CA,,jsharrar@act-sf.org,,
American Film Institute Conservatory,CA,bgazzale@afi.com,,,
American Institute of Alternative Medicine,OH,rernest@aiam.edu,,,
American InterContinental University,AZ,JKline@aiuniv.edu,rjayaraman@aiuonline.edu,,
American InterContinental University-Atlanta,GA,,,,
American InterContinental University-Houston,TX,,,,
American International College,MA,vincent.maniaci@ aic.edu,,,
American Islamic College,IL,president.casewit@aicusa.edu,,,
American Jewish University,CA,advancement@aju.edu,,,
American Medical Academy,FL,agutierrez@ama.edu,rarredondo@ama.edu,,
American Medical Sciences Center,CA,,,,
American Musical and Dramatic Academy,NY,,,,
American National University,VA,,,,
American National University-Dayton,OH,,,,
American National University-Lexington,KY,,,,
American Public University System,WV,,,,
American River College,CA,greenet@arc.losrios.edu,,,
American Sentinel University,CO,Info@AmericanSentinel.edu,,,
American Trade School,MO,,,,
American University,DC,president@american.edu,,,
American University of Health Sciences,CA,cryan@auhs.edu,jminchin@auhs.edu,,
AmeriTech College-Draper,UT,sherryj@ameritech.edu,,,
Amherst College,MA,president@amherst.edu,,,
Amridge University,AL,,,,
Anabaptist Mennonite Biblical Seminary,IN,bklapp@ambs.edu,,,
Ancilla College,IN,Michele.dvorak@ancilla.edu,,,
Anderson University,IN,,,,
Anderson University,SC,ewhitaker@andersonuniversity.edu,,,
Andover Newton Theological School,MA,sarah.drummond@yale.edu,,,
Andrew College,GA,,,,
Andrews University,MI,executiveassistant@andrews.edu,,,
Angeles College,CA,,,,
Angelina College,TX,jpaxson@angelina.edu,,,
Angelo State University,TX,angie.wright@angelo.edu,,,
Anna Maria College,MA,mretelle@annamaria.edu,,,
Anne Arundel Community College,MD,presidentsline@aacc.edu,,,
Anoka Technical College,MN,Kent.Hanson@anokaramsey.edu,,,
Anoka-Ramsey Community College,MN,,,,
Antelope Valley College,CA,eknudson@avc.edu,,,
Antioch College,OH,president@antiochcollege.edu,kmcgruder@antiochcollege.edu,,
Antioch University Online,OH,,,,
Antioch University-Los Angeles,CA,,,,
Antioch University-Midwest,OH,,,,
Antioch University-New England,NH,,,,
Antioch University-PhD Program in Leadership and Change,OH,,,,
Antioch University-Santa Barbara,CA,,,,
Antioch University-Seattle,WA,,bpryor@antioch.edu,,
Antioch University-System Administration,OH,,,,
Antonelli College-Cincinnati,OH,,,,
Antonelli College-Hattiesburg,MS,,,,
Antonelli College-Jackson,MS,,,,
AOMA Graduate School of Integrative Medicine,TX,AOMA-ClinicStaff@aoma.edu,,,
Apex School of Theology,NC,info@apexsot.edu,,,
Appalachian Bible College,WV,,,,
Appalachian College of Pharmacy,VA,mmcglothlin@acp.edu,,,
Appalachian School of Law,VA,mbelleville@asl.edu,,,
Appalachian State University,NC,racedw@appstate.edu,ginnmc@appstate.edu,,
Aquinas College,MI,officeofthepres@aquinas.edu,kpp001@aquinas.edu,,
Aquinas Institute of Theology,MO,wedig@ai.edu,mascari@ai.edu,,
Arapahoe Community College,CO,diana.doyle@arapahoe.edu,rebecca.woulfe@arapahoe.edu,,
Arcadia University,PA,President@arcadia.edu,crenshaws@arcadia.edu,,
Arizona Board of Regents,AZ,president@asu.edu,liesl@arizona.edu,,
Arizona Christian University,AZ,nmansour@arizonacollege.edu,,,
Arizona College-Dallas,TX,nmansour@arizonacollege.edu,,,
Arizona College-Glendale,AZ,nmansour@arizonacollege.edu,,,
Arizona College-Las Vegas,NV,nmansour@arizonacollege.edu,,,
Arizona College-Mesa,AZ,nmansour@arizonacollege.edu,,,
Arizona College-Tempe,AZ,nmansour@arizonacollege.edu,,,
Arizona School of Acupuncture and Oriental Medicine,AZ,,,,
Arizona State University-Downtown Phoenix,AZ,Michael.Crow@asu.edu,MARK.SEARLE@asu.edu,,
Arizona State University-Polytechnic,AZ,Michael.Crow@asu.edu,MARK.SEARLE@asu.edu,,
Arizona State University-Skysong,AZ,Michael.Crow@asu.edu,MARK.SEARLE@asu.edu,,
Arizona State University-Tempe,AZ,Michael.Crow@asu.edu,MARK.SEARLE@asu.edu,,
Arizona State University-West,AZ,Michael.Crow@asu.edu,MARK.SEARLE@asu.edu,,
Arizona Western College,AZ,daniel.corr@hotmail.com,,,
Arkansas Baptist College,AR,,,,
Arkansas Colleges of Health Education,AR,brian.kim@acheeedu.org,tom.webb@acheedu.org,,
Arkansas Northeastern College,AR,jshemwell@smail.anc.edu,gbennett@smail.anc.edu,,
Arkansas State University Mid-South,AR,president@asusystem.edu,,,
Arkansas State University System,AR,president@asusystem.edu,,,
Arkansas State University Three Rivers,AR,president@asusystem.edu,,,
Arkansas State University-Beebe,AR,president@asusystem.edu,,,
Arkansas State University-Main Campus,AR,president@asusystem.edu,,,
Arkansas State University-Mountain Home,AR,president@asusystem.edu,,,
Arkansas State University-Newport,AR,president@asusystem.edu,,,
Arkansas Tech University,AR,,jfleming@atu.edu,,
Arlington Baptist University,TX,,jtaylor@abu.edu,,
Arnot Ogden Medical Center,NY,,,,
Art Academy of Cincinnati,OH,joe.girandola@artacademy.edu,dwatson@artacademy.edu,,
Art Center College of Design,CA,president@artcenter.edu,,,
ASA College,NY,jvalencia@asa.edu,,,
Asbury Theological Seminary,KY,,,,
Asbury University,KY,kevin.brown@asbury.edu,provost@asbury.edu,,
Asher College,CA,,,,
Asheville-Buncombe Technical Community College,NC,,,,
Ashford University,CA,,,,
Ashland Community and Technical College,KY,,,,
Ashland University,OH,,rpool2@ashland.edu,,
Asnuntuck Community College,CT,,,,
Aspen University,CO,info@aspen.edu,,,
Associated Beth Rivkah Schools,NY,,,,
Assumption College,MA,shmahone@assumption.edu,,,
Assumption College for Sisters,NJ,,,,
ATA Career Education,FL,,,,
ATA College,KY,djones@ata.edu,,,
ATA College - Cincinnati,OH,djones@ata.edu,,,
Athena Career Academy,OH,trestivo@athenacareers.edu,,,
Athenaeum of Ohio,OH,abrausch@athenaeum.edu,dendres@athenaeum.edu,,
Athens State University,AL,philip.way@athens.edu,joe.delap@athens.edu,,
Athens Technical College,GA,,,,
ATI College-Norwalk,CA,,,,
Atlanta Institute of Music and Media,GA,info@aim-music.com,,,
Atlanta Metropolitan State College,GA,glewis@atlm.edu,mheard@atlm.edu,,
Atlanta Technical College,GA,presidentsoffice@atlantatech.edu,,,
Atlanta's John Marshall Law School,GA,jgatewood@johnmarshall.edu,,,
Atlantic Cape Community College,NJ,president@atlantic.edu,katz@atlantic.edu,,
Atlantic Institute of Oriental Medicine,FL,,,,
Atlantis University,FL,,,,
Auburn University,AL,gjg0002@auburn.edu,bch0014@auburn.edu,,
Auburn University at Montgomery,AL,chancellor@aum.edu,,,
Augsburg University,MN,,,,
Augusta Technical College,GA,telam@augustatech.edu,clewis@augustatech.edu,,
Augusta University,GA,,,,
Augustana College,IL,stevenbahls@augustana.edu,colin.irvine@augie.edu,,
Augustana University,SD,,,,
Auguste Escoffier School of Culinary Arts-Austin,TX,csaustin@escoffier.edu,,,
Auguste Escoffier School of Culinary Arts-Boulder,CO,csaustin@escoffier.edu,,,
Aultman College of Nursing and Health Sciences,OH,,,,
Aurora University,IL,officeofthepresident@aurora.edu,,,
Austin College,TX,president@austincollege.edu,,,
Austin Community College District,TX,president@austincc.edu,,,
Austin Graduate School of Theology,TX,,,,
Austin Peay State University,TN,whitealisa@apsu.edu,cronleym@apsu.edu,,
Austin Presbyterian Theological Seminary,TX,,,,
Ave Maria School of Law,FL,kcieply@avemarialaw.edu,,,
Ave Maria University,FL,,timothy.dockery@avemaria.edu,,
Averett University,VA,,brawley@averett.edu,,
Averett University-Non-Traditional Programs,VA,,,,
Aviation Institute of Maintenance-Atlanta,GA,,,,
Aviator College of Aeronautical Science and Technology,FL,mchohen@aviator.edu,,,
Avila University,MO,,Mary.lecluyse@avila.edu,,
Azusa Pacific University,CA,president@apu.edu,,,
Babson College,MA,officeofthepresident@babson.edu,provost@babson.edu,,
Bacone College,OK,clarkf@bacone.edu,thompsol@bacone.edu,,
Bais Binyomin Academy,NY,,,,
Bais HaMedrash and Mesivta of Baltimore,MD,,,,
Bais Medrash Elyon,NY,,,,
Bais Medrash Mayan Hatorah,NJ,,,,
Bais Medrash Toras Chesed,NJ,,,,
Baker College,MI,,,,
Baker University,KS,president@bakerU.edu,,,
Bakersfield College,CA,president@bakersfieldcollege.edu,,,
Bakke Graduate University,TX,brad.smith@bgu.edu,,,
Baldwin Wallace University,OH,bhelmer@bw.edu,sstahl@bw.edu,,
Ball State University,IN,,,,
Baltimore City Community College,MD,,,,
Bank Street College of Education,NY,,,,
Baptist Bible College,MO,,,,
Baptist Health College Little Rock,AR,,,,
Baptist Health System School of Health Professions,TX,,,,
Baptist Memorial College of Health Sciences,TN,,,,
Baptist Missionary Association Theological Seminary,TX,,,,
Baptist Theological Seminary at Richmond,VA,,,,
Baptist University of the Americas,TX,,,,
Barclay College,KS,,,,
Bard College,NY,,,,
Bard College at Simon's Rock,MA,,,,
Barnard College,NY,,,,
Barnes-Jewish College Goldfarb School of Nursing,MO,,,,
Barry University,FL,,,,
Barstow Community College,CA,,,,
Barton College,NC,,,,
Barton County Community College,KS,,,,
Bastyr University,WA,,,,
Bates College,ME,,,,
Bates Technical College,WA,,,,
Baton Rouge Community College,LA,,,,
Baton Rouge School of Computers,LA,,,,
Bay de Noc Community College,MI,,,,
Bay Mills Community College,MI,,,,
Bay Path University,MA,,,,
Bay State College,MA,,,,
Baylor College of Medicine,TX,,,,
Baylor University,TX,,,,
Be'er Yaakov Talmudic Seminary,NY,,,,
Beacon College,FL,,,,
Beal College,ME,,,,
Beaufort County Community College,NC,,,,
Becker College,MA,,,,
Beckfield College-Florence,KY,,,,
Beis Medrash Heichal Dovid,NY,,,,
Bel-Rea Institute of Animal Technology,CO,,,,
Belanger School of Nursing,NY,,,,
Belhaven University,MS,,,,
Bellarmine University,KY,,,,
Bellevue College,WA,,,,
Bellevue University,NE,,,,
Bellin College,WI,,,,
Bellingham Technical College,WA,,,,
Belmont Abbey College,NC,,,,
Belmont College,OH,,,,
Belmont University,TN,,,,
Beloit College,WI,,,,
Bemidji State University,MN,,,,
Benedict College,SC,,,,
Benedictine College,KS,,,,
Benedictine University,IL,,,,
Benjamin Franklin Institute of Technology,MA,,,,
Bennett College,NC,,,,
Bennington College,VT,,,,
Bentley University,MA,,,,
Berea College,KY,,,,
Bergen Community College,NJ,,,,
Bergin University of Canine Studies,CA,,,,
Berkeley City College,CA,,,,
Berkeley College-New York,NY,,,,
Berkeley College-Woodland Park,NJ,,,,
Berklee College of Music,MA,,,,
Berkshire Community College,MA,,,,
Berry College,GA,,,,
Best Care College,NJ,,,,
Bet Medrash Gadol Ateret Torah,NY,,,,
Beth Hamedrash Shaarei Yosher Institute,NY,,,,
Beth Hatalmud Rabbinical College,NY,,,,
Beth Medrash Govoha,NJ,,,,
Beth Medrash Meor Yitzchok,NY,,,,
Beth Medrash of Asbury Park,NJ,,,,
Bethany College,WV,,,,
Bethany College,KS,,,,
Bethany Global University,MN,,,,
Bethany Lutheran College,MN,,,,
Bethany Theological Seminary,IN,,,,
Bethel College,VA,,,,
Bethel College-North Newton,KS,,,,
Bethel Seminary-San Diego,CA,,,,
Bethel Seminary-St Paul,MN,,,,
Bethel University,TN,,,,
Bethel University,IN,,,,
Bethel University,MN,,,,
Bethesda University,CA,,,,
Bethlehem College & Seminary,MN,,,,
Bethune-Cookman University,FL,,,,
Beulah Heights University,GA,,,,
Beverly Hills Design Institute,CA,,,,
Bevill State Community College,AL,,,,
Bexley Hall Seabury Western Theological Seminary Federation Inc.,IL,,,,
Bidwell Training Center Inc,PA,,,,
Big Bend Community College,WA,,,,
Big Sandy Community and Technical College,KY,,,,
Binghamton University,NY,,,,
Biola University,CA,,,,
Birmingham-Southern College,AL,,,,
Birthingway College of Midwifery,OR,,,,
Bishop State Community College,AL,,,,
Bismarck State College,ND,,,,
Black Hawk College,IL,,,,
Black Hills State University,SD,,,,
Black River Technical College,AR,,,,
Blackburn College,IL,,,,
Blackfeet Community College,MT,,,,
Blackhawk Technical College,WI,,,,
Bladen Community College,NC,,,,
